sample num:1, penetr vol:0.0863938257098198, simu disp:0.024059339018819962
sample num:2, penetr vol:0.13964277505874634, simu disp:0.020880479414507377
sample num:3, penetr vol:0.33797895908355713, simu disp:0.05323922125816323
sample num:4, penetr vol:0.06964071840047836, simu disp:0.008349477722521965
sample num:5, penetr vol:0.2933116853237152, simu disp:0.07081604372301353
sample num:6, penetr vol:0.4742705523967743, simu disp:0.04574074223483151
sample num:7, penetr vol:0.08530166000127792, simu disp:0.07882139181631406
sample num:8, penetr vol:0.06247326731681824, simu disp:0.025795512979656234
sample num:9, penetr vol:0.1273840367794037, simu disp:0.03252624485151293
sample num:10, penetr vol:0.34777751564979553, simu disp:0.02023470854492494
sample num:11, penetr vol:0.42180103063583374, simu disp:0.0631249325277867
sample num:12, penetr vol:0.219769686460495, simu disp:0.051114398233600304
sample num:13, penetr vol:0.5879970192909241, simu disp:0.03468320517451123
sample num:14, penetr vol:0.22218233346939087, simu disp:0.0282381258578276
sample num:15, penetr vol:0.3637904226779938, simu disp:0.045418364176320766
sample num:16, penetr vol:0.21736380457878113, simu disp:0.027259355495144428
sample num:17, penetr vol:0.6814577579498291, simu disp:0.026277568537476623
sample num:18, penetr vol:0.49964040517807007, simu disp:0.04362817864460001
sample num:19, penetr vol:0.8852587342262268, simu disp:0.035405593254616605
sample num:20, penetr vol:0.05812361463904381, simu disp:0.028727308785187162
sample num:21, penetr vol:0.057856470346450806, simu disp:0.01814224228480241
sample num:22, penetr vol:0.05923622474074364, simu disp:0.019990096909091308
sample num:23, penetr vol:0.14884956181049347, simu disp:0.01996713684926883
sample num:24, penetr vol:0.28504854440689087, simu disp:0.01696498517328129
sample num:25, penetr vol:0.2184220254421234, simu disp:0.010088746198994194
sample num:26, penetr vol:0.20943309366703033, simu disp:0.022043897779217784
sample num:27, penetr vol:0.09457245469093323, simu disp:0.013707149662920328
sample num:28, penetr vol:0.025542858988046646, simu disp:0.00915363433285094
sample num:29, penetr vol:0.1931932121515274, simu disp:0.005452246954967809
sample num:30, penetr vol:0.023548530414700508, simu disp:0.012478113082497145
sample num:31, penetr vol:0.026877788826823235, simu disp:0.017056190308825006
sample num:32, penetr vol:0.06616152077913284, simu disp:0.021592873862403994
sample num:33, penetr vol:0.017537329345941544, simu disp:0.008359416680937006
sample num:34, penetr vol:0.13003399968147278, simu disp:0.015595751041899142
sample num:35, penetr vol:0.009378333576023579, simu disp:0.011135786426646544
sample num:36, penetr vol:0.006748571991920471, simu disp:0.01292983820817973
sample num:37, penetr vol:0.006130971945822239, simu disp:0.010320608805341492
sample num:38, penetr vol:0.2320275753736496, simu disp:0.02768118207125279
sample num:39, penetr vol:0.01008476410061121, simu disp:0.02966638741339292
sample num:40, penetr vol:0.007837606593966484, simu disp:0.027392165110855397
sample num:41, penetr vol:0.010386279784142971, simu disp:0.01974435505825251
sample num:42, penetr vol:0.020389888435602188, simu disp:0.041658459435402716
sample num:43, penetr vol:0.06338370591402054, simu disp:0.013995527711821243
sample num:44, penetr vol:0.11918489634990692, simu disp:0.012216617384812027
sample num:45, penetr vol:0.11975784599781036, simu disp:0.011162299008375384
sample num:46, penetr vol:0.05927792191505432, simu disp:0.02721267004074321
sample num:47, penetr vol:0.2397948056459427, simu disp:0.004938481316647585
sample num:48, penetr vol:0.30650046467781067, simu disp:0.027267124370174724
sample num:49, penetr vol:0.19369946420192719, simu disp:0.012884919285640214
sample num:50, penetr vol:0.013189242221415043, simu disp:0.007465559736604958
sample num:51, penetr vol:0.01892668940126896, simu disp:0.006746619259147992
sample num:52, penetr vol:0.014585262164473534, simu disp:0.025427842549608174
